price,stamp
377.1,2016-01-28
380.2,2016-01-29
381.6,2016-01-30
375.3,2016-01-31
373.3,2016-02-01
372.9,2016-02-02
371.4,2016-02-03
384.0,2016-02-04
374.0,2016-02-05
376.0,2016-02-06
379.1,2016-02-07
370.4,2016-02-08
374.9,2016-02-09
375.9,2016-02-10
379.2,2016-02-11
389.0,2016-02-12
397.7,2016-02-13
406.8,2016-02-14
400.9,2016-02-15
411.9,2016-02-16
418.4,2016-02-17
417.7,2016-02-18
425.9,2016-02-19
439.2,2016-02-20
438.8,2016-02-21
434.5,2016-02-22
421.4,2016-02-23
424.0,2016-02-24
423.9,2016-02-25
426.6,2016-02-26
427.1,2016-02-27
434.6,2016-02-28
433.3,2016-02-29
432.8,2016-03-01
415.4,2016-03-02
421.7,2016-03-03
397.5,2016-03-04
399.1,2016-03-05
404.8,2016-03-06
414.0,2016-03-07
409.9,2016-03-08
411.5,2016-03-09
418.8,2016-03-10
416.4,2016-03-11
413.5,2016-03-12
414.8,2016-03-13
414.8,2016-03-14
414.2,2016-03-15
417.8,2016-03-16
415.6,2016-03-17
409.5,2016-03-18
410.6,2016-03-19
408.9,2016-03-20
415.9,2016-03-21
417.3,2016-03-22
415.9,2016-03-23
413.8,2016-03-24
416.1,2016-03-25
416.9,2016-03-26
423.5,2016-03-27
423.5,2016-03-28
413.0,2016-03-29
414.0,2016-03-30
415.4,2016-03-31
419.0,2016-04-01
419.3,2016-04-02
419.9,2016-04-03
422.4,2016-04-04
422.0,2016-04-05
421.8,2016-04-06
422.1,2016-04-07
417.6,2016-04-08
420.8,2016-04-09
421.8,2016-04-10
429.4,2016-04-11
428.7,2016-04-12
425.3,2016-04-13
426.1,2016-04-14
433.2,2016-04-15
433.9,2016-04-16
433.3,2016-04-17
431.8,2016-04-18
437.7,2016-04-19
440.0,2016-04-20
446.9,2016-04-21
447.6,2016-04-22
458.4,2016-04-23
464.9,2016-04-24
468.5,2016-04-25
470.1,2016-04-26
443.3,2016-04-27
450.3,2016-04-28
455.1,2016-04-29
454.3,2016-04-30
456.9,2016-05-01
447.0,2016-05-02
449.0,2016-05-03
448.5,2016-05-04
449.0,2016-05-05
460.2,2016-05-06
462.7,2016-05-07
459.8,2016-05-08
462.0,2016-05-09
455.6,2016-05-10
456.5,2016-05-11
455.8,2016-05-12
457.6,2016-05-13
460.0,2016-05-14
458.7,2016-05-15
456.5,2016-05-16
456.5,2016-05-17
455.5,2016-05-18
442.4,2016-05-19
444.8,2016-05-20
445.1,2016-05-21
442.9,2016-05-22
446.2,2016-05-23
449.1,2016-05-24
450.6,2016-05-25
473.3,2016-05-26
493.2,2016-05-27
520.0,2016-05-28
